CODIGOCLIE,Path_archivo_datos,Nombre,CIIU,Mult. de potencias
90000513,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000513-2023.csv,FABRICABLES S.A.,C2732.01,1760.0
90000515,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000515-2023.csv,S.J. JERSEY ECUATORIANO C.A. ,C1311.02,800.0
90000523,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000523-2023.csv,TEXTILES DEL PACIFICO TEXPAC CIA LTDA,C1312.01,600.0
90000537,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000537-2023.csv,MODERNA ALIMENTOS S.A.,G4630.95,600.0
90000540,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000540-2023.csv,TEXTIL PADILLA E HIJOS TEXPADILLA CIA. LTDA,C1312.01,660.0
90000571,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000571-2023.csv,ENNOBLECIMIENTO TEXTIL-ENNOTEX S.A,C1312.01,600.0
90000590,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000590-2023.csv,Desconocido,Desconocido,Desconocido
90000615,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000615-2023.csv,LANAFIT SA,C1399.06,3272.73
90000631,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000631-2023.csv,Desconocido,Desconocido,Desconocido
90000638,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000638-2023.csv,INDUSTRIA PIOLERA PONTE SELVA S.A.,C1311.02,436.36
90000642,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000642-2023.csv,Desconocido,Desconocido,Desconocido
90000643,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000643-2023.csv,INEXA INDUSTRIA EXTRACTORA C.A.,C2011.91,109.09
90000644,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000644-2023.csv,TEXTILES MAR Y SOL SA,C1312.01,545.45
90000657,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000657-2023.csv,SURPAPELCORP S.A.,C1702.01,6800.0
90000659,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000659-2023.csv,LA INDUSTRIA HARINERA S.A.,C1061.11,600.0
90000662,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000662-2023.csv,INDUSTRIA LICORERA IBEROAMERICANA ILSA S.A.,C1101.01,600.0
90000664,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000664-2023.csv,AYMESA S.A.,C2910.01,1320.0
90000672,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000672-2023.csv,Desconocido,Desconocido,Desconocido
90000682,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000682-2023.csv,Desconocido,Desconocido,Desconocido
90000685,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000685-2023.csv,Desconocido,Desconocido,Desconocido
90000688,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000688-2023.csv,SUCESORES DE JACOBO PAREDES M. S.A. ,C1074.01,1100.0
90000691,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000691-2023.csv,Desconocido,Desconocido,Desconocido
90000693,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000693-2023.csv,ECUATORIANA DE ARTEFACTOS S.A. ECASA,C2750.01,1.0
90000703,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000703-2023.csv,GRUPO EL COMERCIO C.A.,C1811.01,660.0
90000709,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000709-2023.csv,Desconocido,Desconocido,Desconocido
